unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.59E+12,2020-07-01 00:00,BTC/USDT,9138.08,9292,9080.1,9232,38488.5287,354087627.2,374832
1.59E+12,2020-06-30 00:00,BTC/USDT,9192.93,9205,9064.89,9138.55,31463.1628,287781334.5,328083
1.59E+12,2020-06-29 00:00,BTC/USDT,9116.16,9238,9024.67,9192.56,42120.29326,384206326.5,434299
1.59E+12,2020-06-28 00:00,BTC/USDT,9012,9191,8948.06,9116.35,30688.17642,278721674.9,374404
1.59E+12,2020-06-27 00:00,BTC/USDT,9162.21,9196.24,8833,9012,46290.93011,419606802.2,499415
1.59E+12,2020-06-26 00:00,BTC/USDT,9249.49,9298,9045.45,9162.21,50292.29828,461347064.8,510947
1.59E+12,2020-06-25 00:00,BTC/USDT,9298.33,9340,9009.69,9249.49,55831.61916,514396747.4,536205
1.59E+12,2020-06-24 00:00,BTC/USDT,9624.33,9670,9208,9296.49,61571.56146,579426702.8,572362
1.59E+12,2020-06-23 00:00,BTC/USDT,9685.69,9720,9577.03,9624.89,41031.02938,395487616.5,474319
1.59E+12,2020-06-22 00:00,BTC/USDT,9294.69,9780,9277.09,9685.69,57895.46834,550995799.1,588704
1.59E+12,2020-06-21 00:00,BTC/USDT,9358.95,9422,9281.54,9294.69,24316.92623,227467940.6,321015
1.59E+12,2020-06-20 00:00,BTC/USDT,9310.23,9395,9170.95,9358.95,30329.06538,282120360.6,382778
1.59E+12,2020-06-19 00:00,BTC/USDT,9386.32,9438.3,9215.79,9310.23,45330.98367,423086965.2,503484
1.59E+12,2020-06-18 00:00,BTC/USDT,9465.13,9489,9280,9386.32,37381.95377,351649555.1,475074
1.59E+12,2020-06-17 00:00,BTC/USDT,9526.97,9565,9236.61,9465.14,48046.41115,453209812.2,536158
1.59E+12,2020-06-16 00:00,BTC/USDT,9426.05,9589,9373.09,9525.59,52052.44693,494458269.1,543481
1.59E+12,2020-06-15 00:00,BTC/USDT,9342.1,9495,8910.45,9426.02,86107.92471,793518842.6,839521
1.59E+12,2020-06-14 00:00,BTC/USDT,9473.34,9480.99,9245,9342.1,30055.50661,282131272.4,415568
1.59E+12,2020-06-13 00:00,BTC/USDT,9464.96,9494.73,9351,9473.34,27759.78485,261673162.3,392763
1.59E+12,2020-06-12 00:00,BTC/USDT,9278.88,9557.12,9232.51,9465.13,50119.06693,472007894.4,553203
1.59E+12,2020-06-11 00:00,BTC/USDT,9885.22,9964,9113,9280.4,94418.98473,902075648.5,966502
1.59E+12,2020-06-10 00:00,BTC/USDT,9772.44,9992.72,9704.18,9885,47130.76298,462384305.4,560909
1.59E+12,2020-06-09 00:00,BTC/USDT,9782,9877,9570,9772.43,46024.00129,447208895.8,551863
